title,link,image_src,author,publisher,price,description
축구 (2022 가온빛 추천그림책),https://search.shopping.naver.com/book/catalog/32481982871,https://shopping-phinf.pstatic.net/main_3248198/32481982871.20230418162503.jpg,키티 크라우더,책빛,12600,"아스트리드 린드그렌 상 수상 작가 키티 크라우더의
《포카와 민 시리즈》 여섯 번째 이야기

“포카, 나도 축구하고 싶어요!”
“그런데 축구는 남자애들이 많이 하는 운동인데?”

민은 축구가 하고 싶습니다. 설레는 마음으로 축구부에 들어갔지만, 팀원들은 민을 반기지 않습니다. 민은 훈련을 마치고 포카 품에 안겨 눈물을 흘립니다. 하지만 민은 포기하지 않고 열심히 공차기 연습을 합니다. 드디어 축구 시합이 있는 날, 민은 실력을 보여줄 수 있을까요?

《포카와 민 시리즈》 여섯 번째 이야기입니다. 여섯 개의 발이 달린 곤충, 포카와 민을 주인공으로 어린이에게 일어날 수 있는 소소한 일상을 다루었으며, 사랑하고 존중하는 관계의 소중함, 한부모 가족, 성평등, 고정관념과 편견 등 다양한 주제들을 이야기합니다. 《포카와 민 시리즈》는 키티 크라우더 작가가 11년 동안 쓴 그림책 시리즈로 총 8권(《일어나요!》, 《새로운 날개》, 《박물관에서》, 《영화관에서》, 《정원에서》, 《축구》, 《낚시하러 가요!》, 《할머니를 위한 선물》)으로 구성되었습니다."
축구,https://search.shopping.naver.com/book/catalog/32485091887,https://shopping-phinf.pstatic.net/main_3248509/32485091887.20220524184800.jpg,크리스티안 페트리,다감,0,"축구의 세계로 함께 떠나 볼까요?

초등학교 저학년 아이들이 꼭 알아야 할 기초 과학 상식을 담아낸「나한테 물어봐」제3권 『축구』. 축구는 언제부터 시작했을까? 축구 경기 규칙에는 무엇무엇이 있을까? 세계적인 축구 선수는 누가 있을까? 이 책은 축구에 대해 꼭 알아 두어야 할 내용을 알기 쉽게 설명해준다. 이해하기 쉬운 문장과 한눈에 들어오는 재미 있는 그림으로 축구에 대한 다양한 지식과 스포츠 과학을 함께 배울 수 있도록 구성하였다."
축구,https://search.shopping.naver.com/book/catalog/32493322782,https://shopping-phinf.pstatic.net/main_3249332/32493322782.20220527055330.jpg,윤형기,숭실대학교출판부,0,"[몸으로 익히는 축구]는 ‘몸으로 익혀’ 축구하는 법 즉, 공을 다루는 법에 대한 활용서이다. 경기에서 가장 기본이 되는 킥(kick), 드리블, 트래핑 등의 기술 방법이 사진과 함께 기술되어 있고, 축구지도법으로 스루패스, 센터링 등 패스 방법과 세트플레이에 관하여도 쉽게 설명해 보다 손쉽게 누구나 익힐 수 있도록 했다."
축구에 관한 모든 것 18 : 축구룰 (축구룰),https://search.shopping.naver.com/book/catalog/32455976783,https://shopping-phinf.pstatic.net/main_3245597/32455976783.20221228072812.jpg,정재헌,사람들,14400,"2002년 한일 월드컵 4강 이후 대한민국 축구는 급격하게 발전했다. 전체적인 시스템, 관련 시설들, 그리고 국가대표팀을 비롯하여 K리그 팀들도 국제무대에서 좋은 모습을 꾸준히 보여주고 있다. 그러나 정작 가장 기본적인 규정의 중요성은 배제되고 있다. 국내에 축구와 관련한 다양한 서적들이 출시되고 있으나, 규정을 다룬 책은 찾아보기가 힘들다. 대한축구협회에서 매년 규정에 관한 번역본을 제공하고 있지만, 보편화되지 않은 것이 현실이다. 여전히 올바르지 않은 용어가 사용되거나 규정이 잘못 알려져 있는 부분도 많다. 

『축구에 관한 모든 것』 18권에서는 축구 경기 만큼이나 중요한 룰에 관해 정리하였다. 축구 규정에 관한 전반적인 내용과 함께 역사적 배경, 변천 과정을 담아냈다. 다소 딱딱할 수 있는 내용을 감안하여 17항으로 이루어진 각 항의 앞부분에 저자의 생각 혹은 이야기를 곁들이고 있다."
친구랑 축구,https://search.shopping.naver.com/book/catalog/53070674971,https://shopping-phinf.pstatic.net/main_5307067/53070674971.20250218082849.jpg,최한결,하모니북,15000,"나는 축구를 잘해
그리고 드리블도 잘하고
리프팅도 잘해
나랑 같이 축구할래?
응. 하자."
축구가 좋아!,https://search.shopping.naver.com/book/catalog/32438287622,https://shopping-phinf.pstatic.net/main_3243828/32438287622.20230728071449.jpg,크리스티네 뇌스틀링거,비룡소,6300,"프란츠는 남들보다 작은 키, 금빛 곱슬머리, 앵두같은 입, 장미빛 뺨때문에 여자아이로 오해받곤 해 속상하다. 그런 프란츠가 이번에는 여자 친구 가비의 축구팀에서 선수로 뛰게 된다. 사실, 프란츠는 남자 애들과 함께 축구를 하고 싶었지만 어느 날, 축구공에 맞아 기절하는 바람에 다른 아이들이 프란츠를 팀에 끼워주지 않은 것.



프란츠는 '명예 소녀'가 되어 가비의 소녀 축구 팀 선수로 시합에 나간다. 상대는 프란츠의 반 남자아이들이 만든 축구팀. 맹렬하게 활약한 프란츠는 게임을 무승부로 끝낸다. 프란츠를 따돌렸던 남자 아이들은 다시 프란츠를 데리고 오려고 하지만, 프란츠는 자신의 능력을 인정해 준 소녀 축구팀에 그대로 남기로 한다.



크리스티네 뇌스틀링거의 프란츠 이야기 여섯번째 권이다."
축구경기규칙,https://search.shopping.naver.com/book/catalog/53512248816,https://shopping-phinf.pstatic.net/main_5351224/53512248816.20250312201914.jpg,안수완,부크크(bookk),13000,초등학생도 쉽게알수있는 축구의규칙
축구의 시대 (정몽규 축구 30년),https://search.shopping.naver.com/book/catalog/49376185625,https://shopping-phinf.pstatic.net/main_4937618/49376185625.20240727071304.jpg,정몽규,브레인스토어,26100,"한국 축구 역사상 가장 논쟁적인 인물 정몽규!
우리는 ‘정몽규라는 축구인’에 대해 얼마나 알고 있을까? 
정몽규 그가 걸어온 30년의 축구 여정을 되짚으며 처음 밝히는 속내를 들어본다

대한축구협회장 정몽규. 그는 2024년 현재, 아니 어쩌면 지난 10여 년간 한국 축구계에서 가장 많은 비판과 비난을 받아온 인물일지 모른다. 반반으로 나뉘어 가장 치열하게 맞붙는 정치권의 인물들도 확고한 ‘내 편’이 있다. 국민 혹은 시민의 절반으로부터는 모멸에 가까운 반의, 적의를 받을지라도, 또 다른 절반으로부터는 뜨거운 사랑과 열렬한 지지를 얻는다. 이렇듯 호감을 표하는 사람이 있다면, 비호감을 드러내는 이도 있는 것이 인간사, 세상사의 흔한 모습이고, 사실 대부분은 호불호를 떠나, 그저 철저한 무관심 속에서 살아간다. 하지만 그렇지 않은 삶을 살아가는 사람도 있다. 바로 정몽규가 그런 인물이다.
그러나 정몽규라는 사람을 비난하는 이들 중에서 정작 그에 대해 제대로 알고 있는 사람은 거의 없다는 사실이 역설적이면서도 흥미롭다. 너도 나도 정몽규를 향해 돌을 던지지만, 정작 그가 왜 그것을 감수해야 하는 대상이 되어야 하는지 알지 못한다. 굉장한 아이러니가 아닐 수 없다. 그를 비판하는 댓글을 다는 것이 마치 인터넷 세상의 놀이나 유행이 되어버린 듯한 느낌이라고 해도 과언은 아닐 것이다. 왜 그런 것일까? 왜 그렇게 된 것일까? 많은 부분이 크고 작은 오해에서 비롯된 것은 아닐까? 그렇다면 그는 왜 오해의 간극을 메우려 애쓰지 않았던 것일까?
어쩌면 이 책 『축구의 시대』가 그동안 그를 둘러싼 오해와 논란에 대해 답하는 최초의 ‘오피셜 코멘트(Official Comment)’일 수도 있겠다. 물론 이 책은 이런저런 물음에 답변하기 위해 쓰인 책이 아니다. 전혀 그렇지 않다. 정몽규라는 사람이 차갑고 날카로운 시선 속에서도 우직하고 담담하게 자신의 길을 걸어왔던 것처럼, 이 책 역시 제법 차가운 온도와 건조한 습도에서 담백하게 써내려간 이야기가 대부분이다. 그저 축구인으로 살아온 30년의 삶을 한 권의 책으로 정리해보겠다는 마음이 커다랗게 자라났기에 작년 여름부터 1년이라는 시간을 집필 작업에 몰두한 것이다.
간단히 표현하자면, 『축구의 시대』는 대중과의 오해를 좁히기 위한 책이라기보다 자신이 해왔던 일들과 걸어왔던 행보에 대해 스스로 되짚어 공유하는 책이라고 보는 것이 맞을 것이다. 그리고 그 이야기들은 제목에서 알 수 있듯이 거의 모든 것들이 축구와 한국 축구를 매개로 한다. 정몽규라는 기업인이 30년간 한국 축구의 발전을 위해 생각하고 고민했던, 도전하고 시도했던 일들이 고스란히 담겨 있다.
그 안에는 성공도, 실패도 있다. 완벽에 가까웠던 결과도 있고, 판단 착오에 가까웠던 일도 있다. 하지만 그는 그러한 일들에 대해 부풀리거나 축소하지 않는다. 잘된 것은 잘된 대로, 잘못된 것은 잘못된 대로 의미를 찾아 매듭짓는다. 그것이 자신은 물론 앞으로 한국 축구 발전을 위해 애쓸 이들에게 좋은 표식이 될 수 있다고 믿기 때문이다. 이 책에는 그러한 표식들이 가득 들어 있다."
축구선수 윌리 (웅진 세계 그림책 26),https://search.shopping.naver.com/book/catalog/32465377531,https://shopping-phinf.pstatic.net/main_3246537/32465377531.20230516165404.jpg,앤서니 브라운,웅진주니어,9900,"침팬지 윌리는 축구를 좋아해요. 선수로 뽑혀 시합에 나가는 게 꿈이죠. 축구 연습에도 열심히 나가지만, 아무도 윌리한테 공을 패스하지 않아요. 윌리에게는 축구화도 없어요. 과연 윌리는 축구 선수가 될 수 있을까요?"
축구시합,https://search.shopping.naver.com/book/catalog/32466689824,https://shopping-phinf.pstatic.net/main_3246668/32466689824.20241217084945.jpg,김감독,축구하는집,12000,축구하러 가기전에 후다닥 읽는책
